ZH	Abk. Kanton Zürich
Fischingen	Gde. im Bez. Münchwilen, Kt. Thurgau
Lommis	Gde. im Bez. Münchwilen, Kt. Thurgau
Münchwilen	Gde. im Bez. Münchwilen, Kt. Thurgau
Rickenbach	Gde. im Bez. Münchwilen, Kt. Thurgau
Schönholzerswilen	Gde. im Bez. Weinfelden, Kt. Thurgau
Sirnach	Gde. im Bez. Münchwilen, Kt. Thurgau
Tobel-Tägerschen	Gde. im Bez. Münchwilen, Kt. Thurgau
Wängi	Gde. im Bez. Münchwilen, Kt. Thurgau
Wilen	Gde. im Bez. Münchwilen, Kt. Thurgau
Wuppenau	Gde. im Bez. Weinfelden, Kt. Thurgau
Berlingen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Eschenz	Gde. im Bez. Frauenfeld, Kt. Thurgau
Herdern	Gde. im Bez. Frauenfeld, Kt. Thurgau
Homburg	Gde. im Bez. Frauenfeld, Kt. Thurgau
Hüttwilen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Mammern	Gde. im Bez. Frauenfeld, Kt. Thurgau
Müllheim	Gde. im Bez. Frauenfeld, Kt. Thurgau
Pfyn	Gde. im Bez. Frauenfeld, Kt. Thurgau
Raperswilen	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Salenstein	Gde. im Bez. Kreuzlingen, Kt. Thurgau
Steckborn	Gde. im Bez. Frauenfeld, Kt. Thurgau
Wagenhausen	Gde. im Bez. Frauenfeld, Kt. Thurgau
Amlikon-Bissegg	Gde. im Bez. Weinfelden, Kt. Thurgau
Berg	Gde. im Bez. Weinfelden, Kt. Thurgau
Birwinken	Gde. im Bez. Weinfelden, Kt. Thurgau
Bürglen	Gde. im Bez. Weinfelden, Kt. Thurgau
Bussnang	Gde. im Bez. Weinfelden, Kt. Thurgau
Märstetten	Gde. im Bez. Weinfelden, Kt. Thurgau
Weinfelden	Gde. im Bez. Weinfelden, Kt. Thurgau
Wigoltingen	Gde. im Bez. Weinfelden, Kt. Thurgau
Arbedo-Castione	Gde. im Bez. Bellinzona, Kt. Ticino
Bellinzona	Gde. im Bez. Bellinzona, Kt. Ticino
Cadenazzo	Gde. im Bez. Bellinzona, Kt. Ticino
Camorino	Gde. im Bez. Bellinzona, Kt. Ticino
Giubiasco	Gde. im Bez. Bellinzona, Kt. Ticino
Gnosca	Gde. im Bez. Bellinzona, Kt. Ticino
Gorduno	Gde. im Bez. Bellinzona, Kt. Ticino
Gudo	Gde. im Bez. Bellinzona, Kt. Ticino
Isone	Gde. im Bez. Bellinzona, Kt. Ticino
Lumino	Gde. im Bez. Bellinzona, Kt. Ticino
Moleno	Gde. im Bez. Bellinzona, Kt. Ticino
Monte Carasso	Gde. im Bez. Bellinzona, Kt. Ticino
Pianezzo	Gde. im Bez. Bellinzona, Kt. Ticino
Preonzo	Gde. im Bez. Bellinzona, Kt. Ticino
SantAntonino	Gde. im Bez. Bellinzona, Kt. Ticino
SantAntonio	Gde. im Bez. Bellinzona, Kt. Ticino
Sementina	Gde. im Bez. Bellinzona, Kt. Ticino
Ludiano	Gde. im Bez. Blenio, Kt. Ticino
Malvaglia	Gde. im Bez. Blenio, Kt. Ticino
Semione	Gde. im Bez. Blenio, Kt. Ticino
Acquarossa	Gde. im Bez. Blenio, Kt. Ticino
Blenio	Gde. im Bez. Blenio, Kt. Ticino
Airolo	Gde. im Bez. Leventina, Kt. Ticino
Anzonico	Gde. im Bez. Leventina, Kt. Ticino
Bedretto	Gde. im Bez. Leventina, Kt. Ticino
Bodio	Gde. im Bez. Leventina, Kt. Ticino
Calpiogna	Gde. im Bez. Leventina, Kt. Ticino
Campello	Gde. im Bez. Leventina, Kt. Ticino
Cavagnago	Gde. im Bez. Leventina, Kt. Ticino
Chironico	Gde. im Bez. Leventina, Kt. Ticino
Dalpe	Gde. im Bez. Leventina, Kt. Ticino
Faido	Gde. im Bez. Leventina, Kt. Ticino
Giornico	Gde. im Bez. Leventina, Kt. Ticino
Mairengo	Gde. im Bez. Leventina, Kt. Ticino
Osco	Gde. im Bez. Leventina, Kt. Ticino
Personico	Gde. im Bez. Leventina, Kt. Ticino
Pollegio	Gde. im Bez. Leventina, Kt. Ticino
Prato	Gde. im Bez. Leventina, Kt. Ticino
Quinto	Gde. im Bez. Leventina, Kt. Ticino
Sobrio	Gde. im Bez. Leventina, Kt. Ticino
Ascona	Gde. im Bez. Locarno, Kt. Ticino
Brione	Gde. im Bez. Locarno, Kt. Ticino
Brione sopra Minusio	Gde. im Bez. Locarno, Kt. Ticino
Brissago	Gde. im Bez. Locarno, Kt. Ticino
Cavigliano	Gde. im Bez. Locarno, Kt. Ticino
Corippo	Gde. im Bez. Locarno, Kt. Ticino
Frasco	Gde. im Bez. Locarno, Kt. Ticino
Gordola	Gde. im Bez. Locarno, Kt. Ticino
Gresso	Gde. im Bez. Locarno, Kt. Ticino
Lavertezzo	Gde. im Bez. Locarno, Kt. Ticino
Locarno	Gde. im Bez. Locarno, Kt. Ticino
Losone	Gde. im Bez. Locarno, Kt. Ticino
Mergoscia	Gde. im Bez. Locarno, Kt. Ticino
Minusio	Gde. im Bez. Locarno, Kt. Ticino
Mosogno	Gde. im Bez. Locarno, Kt. Ticino
Muralto	Gde. im Bez. Locarno, Kt. Ticino
Orselina	Gde. im Bez. Locarno, Kt. Ticino
Ronco sopra Ascona	Gde. im Bez. Locarno, Kt. Ticino
Sonogno	Gde. im Bez. Locarno, Kt. Ticino
Tegna	Gde. im Bez. Locarno, Kt. Ticino
Tenero-Contra	Gde. im Bez. Locarno, Kt. Ticino
Vergeletto	Gde. im Bez. Locarno, Kt. Ticino
Verscio	Gde. im Bez. Locarno, Kt. Ticino
Vogorno	Gde. im Bez. Locarno, Kt. Ticino
Onsernone	Gde. im Bez. Locarno, Kt. Ticino
Isorno	Gde. im Bez. Locarno, Kt. Ticino
Cugnasco-Gerra	Gde. im Bez. Locarno, Kt. Ticino
Agno	Gde. im Bez. Lugano, Kt. Ticino
Aranno	Gde. im Bez. Lugano, Kt. Ticino
Arogno	Gde. im Bez. Lugano, Kt. Ticino
Astano	Gde. im Bez. Lugano, Kt. Ticino
Bedano	Gde. im Bez. Lugano, Kt. Ticino
Bedigliora	Gde. im Bez. Lugano, Kt. Ticino
Bioggio	Gde. im Bez. Lugano, Kt. Ticino
Bissone	Gde. im Bez. Lugano, Kt. Ticino
Bogno	Gde. im Bez. Lugano, Kt. Ticino
Brusino Arsizio	Gde. im Bez. Lugano, Kt. Ticino
Cademario	Gde. im Bez. Lugano, Kt. Ticino
Cadempino	Gde. im Bez. Lugano, Kt. Ticino
Cadro	Gde. im Bez. Lugano, Kt. Ticino
Canobbio	Gde. im Bez. Lugano, Kt. Ticino
Carabietta	Gde. im Bez. Lugano, Kt. Ticino
Carona	Gde. im Bez. Lugano, Kt. Ticino
Caslano	Gde. im Bez. Lugano, Kt. Ticino
Certara	Gde. im Bez. Lugano, Kt. Ticino
Cimadera	Gde. im Bez. Lugano, Kt. Ticino
Comano	Gde. im Bez. Lugano, Kt. Ticino
Croglio	Gde. im Bez. Lugano, Kt. Ticino
Cureglia	Gde. im Bez. Lugano, Kt. Ticino
Curio	Gde. im Bez. Lugano, Kt. Ticino
Grancia	Gde. im Bez. Lugano, Kt. Ticino
Gravesano	Gde. im Bez. Lugano, Kt. Ticino
Lamone	Gde. im Bez. Lugano, Kt. Ticino
Lugano	Gde. im Bez. Lugano, Kt. Ticino
Magliaso	Gde. im Bez. Lugano, Kt. Ticino
Manno	Gde. im Bez. Lugano, Kt. Ticino
Maroggia	Gde. im Bez. Lugano, Kt. Ticino
Massagno	Gde. im Bez. Lugano, Kt. Ticino
Melano	Gde. im Bez. Lugano, Kt. Ticino
Melide	Gde. im Bez. Lugano, Kt. Ticino
Mezzovico-Vira	Gde. im Bez. Lugano, Kt. Ticino
Miglieglia	Gde. im Bez. Lugano, Kt. Ticino
Monteggio	Gde. im Bez. Lugano, Kt. Ticino
Morcote	Gde. im Bez. Lugano, Kt. Ticino
Muzzano	Gde. im Bez. Lugano, Kt. Ticino
Neggio	Gde. im Bez. Lugano, Kt. Ticino
Novaggio	Gde. im Bez. Lugano, Kt. Ticino
Origlio	Gde. im Bez. Lugano, Kt. Ticino
Paradiso	Gde. im Bez. Lugano, Kt. Ticino
Ponte Capriasca	Gde. im Bez. Lugano, Kt. Ticino
Ponte Tresa	Gde. im Bez. Lugano, Kt. Ticino
Porza	Gde. im Bez. Lugano, Kt. Ticino
Pura	Gde. im Bez. Lugano, Kt. Ticino
Rovio	Gde. im Bez. Lugano, Kt. Ticino
Savosa	Gde. im Bez. Lugano, Kt. Ticino
Sessa	Gde. im Bez. Lugano, Kt. Ticino
Sonvico	Gde. im Bez. Lugano, Kt. Ticino
Sorengo	Gde. im Bez. Lugano, Kt. Ticino
Capriasca	Gde. im Bez. Lugano, Kt. Ticino
Torricella-Taverne	Gde. im Bez. Lugano, Kt. Ticino
Valcolla	Gde. im Bez. Lugano, Kt. Ticino
Vernate	Gde. im Bez. Lugano, Kt. Ticino
Vezia	Gde. im Bez. Lugano, Kt. Ticino
Vico Morcote	Gde. im Bez. Lugano, Kt. Ticino
Collina dOro	Gde. im Bez. Lugano, Kt. Ticino
Alto Malcantone	Gde. im Bez. Lugano, Kt. Ticino
Monteceneri	Gde. im Bez. Lugano, Kt. Ticino
Balerna	Gde. im Bez. Mendrisio, Kt. Ticino
Besazio	Gde. im Bez. Mendrisio, Kt. Ticino
Castel San Pietro	Gde. im Bez. Mendrisio, Kt. Ticino
Chiasso	Gde. im Bez. Mendrisio, Kt. Ticino
Coldrerio	Gde. im Bez. Mendrisio, Kt. Ticino
Ligornetto	Gde. im Bez. Mendrisio, Kt. Ticino
Mendrisio	Gde. im Bez. Mendrisio, Kt. Ticino
Meride	Gde. im Bez. Mendrisio, Kt. Ticino
Morbio Inferiore	Gde. im Bez. Mendrisio, Kt. Ticino
Novazzano	Gde. im Bez. Mendrisio, Kt. Ticino
Riva San Vitale	Gde. im Bez. Mendrisio, Kt. Ticino
Stabio	Gde. im Bez. Mendrisio, Kt. Ticino
Vacallo	Gde. im Bez. Mendrisio, Kt. Ticino
Breggia	Gde. im Bez. Mendrisio, Kt. Ticino
Biasca	Gde. im Bez. Riviera, Kt. Ticino
Claro	Gde. im Bez. Riviera, Kt. Ticino
Cresciano	Gde. im Bez. Riviera, Kt. Ticino
Iragna	Gde. im Bez. Riviera, Kt. Ticino
Lodrino	Gde. im Bez. Riviera, Kt. Ticino
Osogna	Gde. im Bez. Riviera, Kt. Ticino
BoscoGurin	Gde. im Bez. Vallemaggia, Kt. Ticino
Campo	Gde. im Bez. Vallemaggia, Kt. Ticino
Cerentino	Gde. im Bez. Vallemaggia, Kt. Ticino
Cevio	Gde. im Bez. Vallemaggia, Kt. Ticino
Linescio	Gde. im Bez. Vallemaggia, Kt. Ticino
Maggia	Gde. im Bez. Vallemaggia, Kt. Ticino
Lavizzara	Gde. im Bez. Vallemaggia, Kt. Ticino
Avegno Gordevio	Gde. im Bez. Vallemaggia, Kt. Ticino
Centovalli	Gde. im Bez. Locarno, Kt. Ticino
Gambarogno	Gde. im Bez. Locarno, Kt. Ticino
Aigle	Gde. im District dAigle, Kt. Vaud
Bex	Gde. im District dAigle, Kt. Vaud
Chessel	Gde. im District dAigle, Kt. Vaud
Corbeyrier	Gde. im District dAigle, Kt. Vaud
Gryon	Gde. im District dAigle, Kt. Vaud
Lavey-Morcles	Gde. im District dAigle, Kt. Vaud
Leysin	Gde. im District dAigle, Kt. Vaud
Noville	Gde. im District dAigle, Kt. Vaud
Ollon	Gde. im District dAigle, Kt. Vaud
Ormont-Dessous	Gde. im District dAigle, Kt. Vaud
Ormont-Dessus	Gde. im District dAigle, Kt. Vaud
Rennaz	Gde. im District dAigle, Kt. Vaud
Roche	Gde. im District dAigle, Kt. Vaud
Villeneuve	Gde. im District dAigle, Kt. Vaud
Yvorne	Gde. im District dAigle, Kt. Vaud
Apples	Gde. im Bez. Morges, Kt. Vaud
Aubonne	Gde. im Bez. Morges, Kt. Vaud
Ballens	Gde. im Bez. Morges, Kt. Vaud
Berolle	Gde. im Bez. Morges, Kt. Vaud
Bière	Gde. im Bez. Morges, Kt. Vaud
Bougy-Villars	Gde. im Bez. Morges, Kt. Vaud
Féchy	Gde. im Bez. Morges, Kt. Vaud
Gimel	Gde. im Bez. Morges, Kt. Vaud
Longirod	Gde. im Bez. Nyon, Kt. Vaud
Marchissy	Gde. im Bez. Nyon, Kt. Vaud
Mollens	Gde. im Bez. Morges, Kt. Vaud
Montherod	Gde. im Bez. Morges, Kt. Vaud
Saint-George	Gde. im Bez. Nyon, Kt. Vaud
Saint-Livres	Gde. im Bez. Morges, Kt. Vaud
Saint-Oyens	Gde. im Bez. Morges, Kt. Vaud
Saubraz	Gde. im Bez. Morges, Kt. Vaud
Avenches	Gde. im Bez. la Broye-Vully, Kt. Vaud
Cudrefin	Gde. im Bez. la Broye-Vully, Kt. Vaud
Faoug	Gde. im Bez. la Broye-Vully, Kt. Vaud
Vully-les-Lacs	Gde. im Bez. la Broye-Vully, Kt. Vaud
Bettens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Bournens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Boussens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
La Chaux	Gde. im Bez. Morges, Kt. Vaud
Chavannes-le-Veyron	Gde. im Bez. Morges, Kt. Vaud
Chevilly	Gde. im Bez. Morges, Kt. Vaud
Cossonay	Gde. im Bez. Morges, Kt. Vaud
Cottens	Gde. im Bez. Morges, Kt. Vaud
Cuarnens	Gde. im Bez. Morges, Kt. Vaud
Daillens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Dizy	Gde. im Bez. Morges, Kt. Vaud
Eclépens	Gde. im Bez. Morges, Kt. Vaud
Ferreyres	Gde. im Bez. Morges, Kt. Vaud
Gollion	Gde. im Bez. Morges, Kt. Vaud
Grancy	Gde. im Bez. Morges, Kt. Vaud
LIsle	Gde. im Bez. Morges, Kt. Vaud
Lussery-Villars	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Mauraz	Gde. im Bez. Morges, Kt. Vaud
Mex	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Moiry	Gde. im Bez. Morges, Kt. Vaud
Mont-la-Ville	Gde. im Bez. Morges, Kt. Vaud
Montricher	Gde. im Bez. Morges, Kt. Vaud
Orny	Gde. im Bez. Morges, Kt. Vaud
Pampigny	Gde. im Bez. Morges, Kt. Vaud
Penthalaz	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Penthaz	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Pompaples	Gde. im Bez. Morges, Kt. Vaud
La Sarraz	Gde. im Bez. Morges, Kt. Vaud
Senarclens	Gde. im Bez. Morges, Kt. Vaud
Sévery	Gde. im Bez. Morges, Kt. Vaud
Sullens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Vufflens-la-Ville	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Assens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Bercher	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Bioley-Orjulaz	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Bottens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Bretigny-sur-Morrens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Cugy	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Echallens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Essertines-sur-Yverdon	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Etagnières	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Fey	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Froideville	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Morrens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Oulens-sous-Echallens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Pailly	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Penthéréaz	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Poliez-Pittet	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Rueyres	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Saint-Barthélemy	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Villars-le-Terroir	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Vuarrens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Montilliez	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Goumoëns	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Bonvillars	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Bullet	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Champagne	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Concise	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Corcelles-près-Concise	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Fiez	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Fontaines-sur-Grandson	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Giez	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Grandevent	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Grandson	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Mauborget	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Mutrux	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Novalles	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Onnens	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Provence	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Sainte-Croix	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Tévenon	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Belmont-sur-Lausanne	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Cheseaux-sur-Lausanne	Gde. im Bez. Lausanne, Kt. Vaud
Crissier	Gde. im Bez. lOuest lausannois, Kt. Vaud
Epalinges	Gde. im Bez. Lausanne, Kt. Vaud
Jouxtens-Mézery	Gde. im Bez. Lausanne, Kt. Vaud
Lausanne	Gde. im Bez. Lausanne, Kt. Vaud
Le Mont-sur-Lausanne	Gde. im Bez. Lausanne, Kt. Vaud
Paudex	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Prilly	Gde. im Bez. lOuest lausannois, Kt. Vaud
Pully	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Renens	Gde. im Bez. lOuest lausannois, Kt. Vaud
Romanel-sur-Lausanne	Gde. im Bez. Lausanne, Kt. Vaud
Chexbres	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Forel	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Lutry	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Puidoux	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Rivaz	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Saint-Saphorin	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Savigny	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Bourg-en-Lavaux	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Aclens	Gde. im Bez. Morges, Kt. Vaud
Bremblens	Gde. im Bez. Morges, Kt. Vaud
Buchillon	Gde. im Bez. Morges, Kt. Vaud
Bussigny-près-Lausanne	Gde. im Bez. lOuest lausannois, Kt. Vaud
Bussy-Chardonney	Gde. im Bez. Morges, Kt. Vaud
Chavannes-près-Renens	Gde. im Bez. lOuest lausannois, Kt. Vaud
Chigny	Gde. im Bez. Morges, Kt. Vaud
Clarmont	Gde. im Bez. Morges, Kt. Vaud
Denens	Gde. im Bez. Morges, Kt. Vaud
Denges	Gde. im Bez. Morges, Kt. Vaud
Echandens	Gde. im Bez. Morges, Kt. Vaud
Echichens	Gde. im Bez. Morges, Kt. Vaud
Ecublens	Gde. im Bez. lOuest lausannois, Kt. Vaud
Etoy	Gde. im Bez. Morges, Kt. Vaud
Lavigny	Gde. im Bez. Morges, Kt. Vaud
Lonay	Gde. im Bez. Morges, Kt. Vaud
Lully	Gde. im Bez. Morges, Kt. Vaud
Lussy-sur-Morges	Gde. im Bez. Morges, Kt. Vaud
Morges	Gde. im Bez. Morges, Kt. Vaud
Préverenges	Gde. im Bez. Morges, Kt. Vaud
Reverolle	Gde. im Bez. Morges, Kt. Vaud
Romanel-sur-Morges	Gde. im Bez. Morges, Kt. Vaud
Saint-Prex	Gde. im Bez. Morges, Kt. Vaud
Saint-Sulpice	Gde. im Bez. lOuest lausannois, Kt. Vaud
Tolochenaz	Gde. im Bez. Morges, Kt. Vaud
Vaux-sur-Morges	Gde. im Bez. Morges, Kt. Vaud
Villars-Sainte-Croix	Gde. im Bez. lOuest lausannois, Kt. Vaud
Villars-sous-Yens	Gde. im Bez. Morges, Kt. Vaud
Vufflens-le-Château	Gde. im Bez. Morges, Kt. Vaud
Vullierens	Gde. im Bez. Morges, Kt. Vaud
Yens	Gde. im Bez. Morges, Kt. Vaud
Boulens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Brenles	Gde. im Bez. la Broye-Vully, Kt. Vaud
Bussy-sur-Moudon	Gde. im Bez. la Broye-Vully, Kt. Vaud
Chapelle-sur-Moudon	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Chavannes-sur-Moudon	Gde. im Bez. la Broye-Vully, Kt. Vaud
Chesalles-sur-Moudon	Gde. im Bez. la Broye-Vully, Kt. Vaud
Correvon	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Cremin	Gde. im Bez. la Broye-Vully, Kt. Vaud
Curtilles	Gde. im Bez. la Broye-Vully, Kt. Vaud
Denezy	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Dompierre	Gde. im Bez. la Broye-Vully, Kt. Vaud
Forel-sur-Lucens	Gde. im Bez. la Broye-Vully, Kt. Vaud
Hermenches	Gde. im Bez. la Broye-Vully, Kt. Vaud
Lovatens	Gde. im Bez. la Broye-Vully, Kt. Vaud
Lucens	Gde. im Bez. la Broye-Vully, Kt. Vaud
Martherenges	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Moudon	Gde. im Bez. la Broye-Vully, Kt. Vaud
Neyruz-sur-Moudon	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Ogens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Peyres-Possens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Prévonloup	Gde. im Bez. la Broye-Vully, Kt. Vaud
Rossenges	Gde. im Bez. la Broye-Vully, Kt. Vaud
Saint-Cierges	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Sarzens	Gde. im Bez. la Broye-Vully, Kt. Vaud
Syens	Gde. im Bez. la Broye-Vully, Kt. Vaud
Thierrens	Gde. im Bez. Gros-de-Vaud, Kt. Vaud
Villars-le-Comte	Gde. im Bez. la Broye-Vully, Kt. Vaud
Vucherens	Gde. im Bez. la Broye-Vully, Kt. Vaud
Arnex-sur-Nyon	Gde. im Bez. Nyon, Kt. Vaud
Arzier	Gde. im Bez. Nyon, Kt. Vaud
Bassins	Gde. im Bez. Nyon, Kt. Vaud
Begnins	Gde. im Bez. Nyon, Kt. Vaud
Bogis-Bossey	Gde. im Bez. Nyon, Kt. Vaud
Borex	Gde. im Bez. Nyon, Kt. Vaud
Chavannes-de-Bogis	Gde. im Bez. Nyon, Kt. Vaud
Chavannes-des-Bois	Gde. im Bez. Nyon, Kt. Vaud
Chéserex	Gde. im Bez. Nyon, Kt. Vaud
Coinsins	Gde. im Bez. Nyon, Kt. Vaud
Commugny	Gde. im Bez. Nyon, Kt. Vaud
Coppet	Gde. im Bez. Nyon, Kt. Vaud
Crans-près-Céligny	Gde. im Bez. Nyon, Kt. Vaud
Crassier	Gde. im Bez. Nyon, Kt. Vaud
Duillier	Gde. im Bez. Nyon, Kt. Vaud
Eysins	Gde. im Bez. Nyon, Kt. Vaud
Founex	Gde. im Bez. Nyon, Kt. Vaud
Genolier	Gde. im Bez. Nyon, Kt. Vaud
Gingins	Gde. im Bez. Nyon, Kt. Vaud
Givrins	Gde. im Bez. Nyon, Kt. Vaud
Gland	Gde. im Bez. Nyon, Kt. Vaud
Grens	Gde. im Bez. Nyon, Kt. Vaud
Mies	Gde. im Bez. Nyon, Kt. Vaud
Nyon	Gde. im Bez. Nyon, Kt. Vaud
Prangins	Gde. im Bez. Nyon, Kt. Vaud
La Rippe	Gde. im Bez. Nyon, Kt. Vaud
Saint-Cergue	Gde. im Bez. Nyon, Kt. Vaud
Signy-Avenex	Gde. im Bez. Nyon, Kt. Vaud
Tannay	Gde. im Bez. Nyon, Kt. Vaud
Trélex	Gde. im Bez. Nyon, Kt. Vaud
Le Vaud	Gde. im Bez. Nyon, Kt. Vaud
Vich	Gde. im Bez. Nyon, Kt. Vaud
LAbergement	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Agiez	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Arnex-sur-Orbe	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Ballaigues	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Baulmes	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Bavois	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Bofflens	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Bretonnières	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Chavornay	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Les Clées	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Corcelles-sur-Chavornay	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Croy	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Juriens	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Lignerolle	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Montcherand	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Orbe	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
La Praz	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Premier	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Rances	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Romainmôtier-Envy	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Sergey	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Valeyres-sous-Rances	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Vallorbe	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Vaulion	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Vuiteboeuf	Gde. im Bez. Jura-Nord vaudois, Kt. Vaud
Bussigny-sur-Oron	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Carrouge	Gde. im Bez. la Broye-Vully, Kt. Vaud
Châtillens	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Chesalles-sur-Oron	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Corcelles-le-Jorat	Gde. im Bez. la Broye-Vully, Kt. Vaud
Les Cullayes	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Ecoteaux	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Essertes	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Ferlens	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Maracon	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Mézières	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Montpreveyres	Gde. im Bez. Lavaux-Oron, Kt. Vaud
Oron-la-Ville	Gde. im Bez. Lavaux-Oron, Kt. Vaud
